URL	Status	Result	ResponseURL	PageTitle	PageTitleAlex	PageTitleStatus	MetaDescription	MetaDescriptionAlex	MetaDescriptionStatus	MetaKeyword	PriMetaKeywordAlex	SecMetaKeywordAlex	TrtMetaKeywordAlex	PriMetaKeywordStatus	SecMetaKeywordStatus	TrtMetaKeywordStatus	H1	H1Alex	H1Status
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/son-bou	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/son-bou	Holiday Villas in Menorca Son Bou | Villa Plus		NOT MAPPED	Find a holiday villa in Menorca, San Bou, with beautiful white villas sat on the hillside along the length of the beach. Book with us today!		NOT MAPPED	"Villas In Son Bou" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Son Bou		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/santo-tomas	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/santo-tomas	Holiday Villas in Santo Tomas Menorca 2017 | Villa Plus		NOT MAPPED	Find your perfect holiday villa in the popular resort of Santo Tomas, Menorca, with the beach, shops, bars and restaurants in walking distance. Book now!		NOT MAPPED	"Villas In Santo Tomas" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Santo Tomas		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/cala-galdana	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/cala-galdana	Holiday Villas in Cala Galdana Menorca 2017 | Villa Plus		NOT MAPPED	Book your holiday villa in Cala Galdana, Menorca, known as &quot;The Queen of the Coves&quot; and considered one of the most beautiful holiday resorts in Menorca. 		NOT MAPPED	"Villas In Cala Galdana" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Cala Galdana		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/cala-blanca	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/cala-blanca	Holiday Villas in Cala Blanca Menorca 2017 | Villa Plus		NOT MAPPED	Discover Menorca when you book your holiday villa in Cala Blanca with sandy beaches and an abundance of bars and restaurants. More info here.		NOT MAPPED	"Villas In Cala Blanca" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Cala Blanca		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-blanes	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-blanes	Villas In Cala'n Blanes| Cala'n Blanes Villas | Villa Plus		NOT MAPPED	Book your villa holiday in Calan Blanes, Menorca offering perfect stretches of sand to unwind and water parks, play areas and tennis courts to keep the kids entertained.		NOT MAPPED	"Villas In Calan Blanes" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Calan Blanes		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-forcat	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-forcat	Holiday Villas in Cala'n Forcat 2017 | Villa Plus		NOT MAPPED	Holiday villas in Cala&#39;n Forcat, Menorca, are perfect for family holidays: from water park and child-friendly activities to its beaches. Book with us now!		NOT MAPPED	"Villas In Calan Forcat" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Calan Forcat		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/son-parc	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/son-parc	Holiday Villas in Menorca Son Parc 2017 | Villa Plus		NOT MAPPED	Find and book your perfect holiday villa in Menorca Son Parc, featuring a wide golden sandy beach and a huge selection of bars and restaurants. Book now!		NOT MAPPED	"Villas In Son Parc" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Son Parc		FAIL
https://www.villaplus.com/destinations/cyprus/coral-bay	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/coral-bay	Holiday Villas Coral Bay 2017 | Villa Plus		NOT MAPPED	Find holiday villas in Coral Bay, Cyprus, famed for its Coral Bay Beach offering an abundance of entertainment and water sports. Book with us today.		NOT MAPPED	"Villas In Coral Bay" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Coral Bay		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol/benalmadena/villa-nicole	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol/benalmadena/villa-nicole	Villa Nicole In Benalmadena, Costa del Sol | Villa Plus		NOT MAPPED	Villa Nicole is a beautiful 5 bedroom villa with private pool, wifi, Pool heat, air con, PoolFence. Book now and pay only 10% deposit!		NOT MAPPED	"Villa Nicole in Benalmadena, Villa Nicole, Villa in Benalmadena, Benalmadena villas, Costa del Sol villas, villas in Costa del Sol, villa plus" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Villa Nicole, Benalmadena, Costa del Sol		FAIL
https://www.villaplus.com/destinations/cyprus/st-georges	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/st-georges	Villas In St George | St George Villas | Villa Plus		NOT MAPPED	Find a villa in St. Georges and enjoy unspoilt stretches of coast and charming tavernas for a more relaxing villa holiday. Book today for excellent value.		NOT MAPPED	"Villas In St. Georges" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of St. Georges		FAIL
