URL	CANONICALTagsStatus	ResponseURL	CanonicalURLCheckFromPageSouce	CanonicalURLsStatus	AlternateStatus	AlternateURL	AlternateURLStatus
http://staging1.villaplus.com/winter-sun-holidays	FOUND	https://www.villaplus.com/winter-sun-holidays	http://staging1.villaplus.com/winter-sun-holidays	FAIL	FOUND	http://m.villaplus.com/winter-sun-holidays	FAIL
http://staging1.villaplus.com/whitsun-villas	FOUND	https://www.villaplus.com/whitsun-villas	http://staging1.villaplus.com/whitsun-villas	FAIL	FOUND	http://m.villaplus.com/whitsun-villas	FAIL
http://staging1.villaplus.com/summer-villas	FOUND	https://www.villaplus.com/summer-villas	http://staging1.villaplus.com/summer-villas	FAIL	FOUND	http://m.villaplus.com/summer-villas	FAIL
http://staging1.villaplus.com/early-summer-villas	FOUND	https://www.villaplus.com/early-summer-villas	http://staging1.villaplus.com/early-summer-villas	FAIL	FOUND	http://m.villaplus.com/early-summer-villas	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/easter-villa-holidays	FOUND	https://www.villaplus.com/easter-villa-holidays	http://staging1.villaplus.com/easter-villa-holidays	FAIL	FOUND	http://m.villaplus.com/easter-villa-holidays	FAIL
http://staging1.villaplus.com/september-villa-holidays-2017	FOUND	https://www.villaplus.com/september-villa-holidays-2017	http://staging1.villaplus.com/september-villa-holidays-2017	FAIL	FOUND	http://m.villaplus.com/september-villa-holidays-2017	FAIL
http://staging1.villaplus.com/owners/meet-the-team	FOUND	https://www.villaplus.com/owners/meet-the-team	http://staging1.villaplus.com/owners/meet-the-team	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/owners/rent-my-villa	FOUND	https://www.villaplus.com/owners/rent-my-villa	http://staging1.villaplus.com/owners/rent-my-villa	FAIL	NOT FOUND		FAIL
